timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743782999744,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,551,352,1,1,http://localhost:3003/total,10,0,1
1743782999744,10,HTTP Request-0,302,Found,Thread Group 1-1,text,true,,250,231,1,1,http://localhost:3003/transaction,10,0,1
1743782999754,7,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,301,121,1,1,http://localhost:3003/total,7,0,0
1743782999762,71,HTTP Request,200,OK,Thread Group 1-1,text,true,,551,352,1,1,http://localhost:3008/total,66,0,6
1743782999762,66,HTTP Request-0,302,Found,Thread Group 1-1,text,true,,250,231,1,1,http://localhost:3008/transaction,66,0,6
1743782999828,5,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,301,121,1,1,http://localhost:3008/total,5,0,0
1743782999833,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,551,352,2,2,http://localhost:3001/total,16,0,1
1743782999833,16,HTTP Request-0,302,Found,Thread Group 1-1,text,true,,250,231,2,2,http://localhost:3001/transaction,16,0,1
1743782999849,3,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,301,121,2,2,http://localhost:3001/total,3,0,0
1743782999844,13,HTTP Request,200,OK,Thread Group 1-2,text,true,,551,352,2,2,http://localhost:3006/total,9,0,1
1743782999844,9,HTTP Request-0,302,Found,Thread Group 1-2,text,true,,250,231,2,2,http://localhost:3006/transaction,9,0,1
1743782999853,4,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,301,121,2,2,http://localhost:3006/total,4,0,0
1743782999852,21,HTTP Request,200,OK,Thread Group 1-1,text,true,,551,352,2,2,http://localhost:3002/total,18,0,2
1743782999852,18,HTTP Request-0,302,Found,Thread Group 1-1,text,true,,250,231,2,2,http://localhost:3002/transaction,18,0,2
1743782999870,3,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,301,121,2,2,http://localhost:3002/total,3,0,0
1743782999858,104,HTTP Request,200,OK,Thread Group 1-2,text,true,,551,352,3,3,http://localhost:3007/total,101,0,1
1743782999858,101,HTTP Request-0,302,Found,Thread Group 1-2,text,true,,250,231,3,3,http://localhost:3007/transaction,101,0,1
1743782999959,3,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,301,121,3,3,http://localhost:3007/total,3,0,0
1743782999962,7,HTTP Request,200,OK,Thread Group 1-2,text,true,,551,352,3,3,http://localhost:3006/total,5,0,0
1743782999962,5,HTTP Request-0,302,Found,Thread Group 1-2,text,true,,250,231,3,3,http://localhost:3006/transaction,5,0,0
1743782999967,2,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,301,121,3,3,http://localhost:3006/total,2,0,0
1743782999969,22,HTTP Request,200,OK,Thread Group 1-2,text,true,,551,352,3,3,http://localhost:3005/total,20,0,1
1743782999969,20,HTTP Request-0,302,Found,Thread Group 1-2,text,true,,250,231,3,3,http://localhost:3005/transaction,20,0,1
1743782999989,2,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,301,121,3,3,http://localhost:3005/total,2,0,0
