timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743886688784,70,HTTP Request,200,OK,Thread Group 1-3,text,true,,301,231,3,3,http://localhost:3096/transaction,70,0,1
1743886688685,173,HTTP Request,200,OK,Thread Group 1-2,text,true,,301,231,3,3,http://localhost:3042/transaction,173,0,1
1743886688582,278,HTTP Request,200,OK,Thread Group 1-1,text,true,,301,231,3,3,http://localhost:3042/transaction,278,0,4
1743886688858,34,HTTP Request,200,OK,Thread Group 1-2,text,true,,301,231,4,4,http://localhost:3233/transaction,34,0,1
1743886688884,51,HTTP Request,200,OK,Thread Group 1-4,text,true,,301,231,4,4,http://localhost:3099/transaction,51,0,1
1743886688854,166,HTTP Request,200,OK,Thread Group 1-3,text,true,,301,231,5,5,http://localhost:3016/transaction,166,0,1
1743886688860,202,HTTP Request,200,OK,Thread Group 1-1,text,true,,301,231,5,5,http://localhost:3092/transaction,202,0,0
1743886688892,207,HTTP Request,200,OK,Thread Group 1-2,text,true,,301,231,6,6,http://localhost:3179/transaction,207,0,0
1743886689023,82,HTTP Request,200,OK,Thread Group 1-3,text,true,,302,231,6,6,http://localhost:3244/transaction,82,0,1
1743886688936,183,HTTP Request,200,OK,Thread Group 1-4,text,true,,302,231,6,6,http://localhost:3141/transaction,183,0,0
1743886689063,80,HTTP Request,200,OK,Thread Group 1-1,text,true,,302,231,6,6,http://localhost:3252/transaction,80,0,0
1743886688984,181,HTTP Request,200,OK,Thread Group 1-5,text,true,,302,231,6,6,http://localhost:3107/transaction,181,0,1
1743886689099,68,HTTP Request,200,OK,Thread Group 1-2,text,true,,302,231,6,6,http://localhost:3216/transaction,68,0,1
1743886689105,70,HTTP Request,200,OK,Thread Group 1-3,text,true,,302,231,6,6,http://localhost:3234/transaction,70,0,1
1743886689084,160,HTTP Request,200,OK,Thread Group 1-6,text,true,,302,231,7,7,http://localhost:3162/transaction,160,0,2
1743886689120,167,HTTP Request,200,OK,Thread Group 1-4,text,true,,302,231,8,8,http://localhost:3254/transaction,167,0,0
1743886689144,181,HTTP Request,200,OK,Thread Group 1-1,text,true,,302,231,8,8,http://localhost:3117/transaction,181,0,0
