timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743801792312,22,HTTP Request,200,OK,Thread Group 1-1,text,true,,551,352,1,1,http://localhost:3001/total,17,0,2
1743801792312,17,HTTP Request-0,302,Found,Thread Group 1-1,text,true,,250,231,1,1,http://localhost:3001/transaction,17,0,2
1743801792329,5,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,301,121,1,1,http://localhost:3001/total,5,0,0
1743801792335,49,HTTP Request,200,OK,Thread Group 1-1,text,true,,551,352,1,1,http://localhost:3010/total,42,0,4
1743801792335,42,HTTP Request-0,302,Found,Thread Group 1-1,text,true,,250,231,1,1,http://localhost:3010/transaction,42,0,4
1743801792378,6,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,301,121,1,1,http://localhost:3010/total,6,0,0
1743801792384,15,HTTP Request,200,OK,Thread Group 1-1,text,true,,551,352,1,1,http://localhost:3005/total,12,0,1
1743801792384,12,HTTP Request-0,302,Found,Thread Group 1-1,text,true,,250,231,1,1,http://localhost:3005/transaction,12,0,1
1743801792396,3,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,301,121,1,1,http://localhost:3005/total,3,0,0
1743801792399,40,HTTP Request,200,OK,Thread Group 1-1,text,true,,551,352,2,2,http://localhost:3001/total,26,0,0
1743801792399,26,HTTP Request-0,302,Found,Thread Group 1-1,text,true,,250,231,2,2,http://localhost:3001/transaction,26,0,0
1743801792425,14,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,301,121,2,2,http://localhost:3001/total,14,0,0
1743801792439,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,551,352,2,2,http://localhost:3003/total,16,0,1
1743801792439,16,HTTP Request-0,302,Found,Thread Group 1-1,text,true,,250,231,2,2,http://localhost:3003/transaction,16,0,1
1743801792455,4,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,301,121,2,2,http://localhost:3003/total,4,0,0
1743801792459,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,551,352,2,2,http://localhost:3004/total,14,0,2
1743801792459,14,HTTP Request-0,302,Found,Thread Group 1-1,text,true,,250,231,2,2,http://localhost:3004/transaction,14,0,2
1743801792473,5,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,301,121,2,2,http://localhost:3004/total,5,0,0
1743801792512,43,HTTP Request,200,OK,Thread Group 1-3,text,true,,551,352,3,3,http://localhost:3007/total,35,0,0
1743801792512,35,HTTP Request-0,302,Found,Thread Group 1-3,text,true,,250,231,3,3,http://localhost:3007/transaction,35,0,0
1743801792547,8,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,301,121,3,3,http://localhost:3007/total,8,0,0
1743801792412,160,HTTP Request,200,OK,Thread Group 1-2,text,true,,551,352,3,3,http://localhost:3010/total,15,0,1
1743801792412,15,HTTP Request-0,302,Found,Thread Group 1-2,text,true,,250,231,3,3,http://localhost:3010/transaction,15,0,1
